rating_cleanliness,response_time,url,accuracy_rating,room_type,price,person_capacity,rating_checkin,rating_communication,satisfaction_guest,host_id,amenities,response_rate,hosting_id,bed_type,instant_book,cancel_policy,rev_count,nightly_price
,10758.5,https://www.airbnb.com/rooms/16189105,,Entire home/apt,75.0,2,,,,29290131,"[4, 8, 30, 31, 33, 34, 40, 41, 44, 49]",0.9440000057220459,16189105,Real Bed,False,5,0,$75
10,7207.0,https://www.airbnb.com/rooms/6852699,10,Entire home/apt,149.0,2,10,10,99,3786490,"[1, 4, 8, 28, 30, 31, 35, 36, 39, 40, 41, 44, 45]",1.0,6852699,Real Bed,False,4,22,$149
9,2053.0,https://www.airbnb.com/rooms/5552105,9,Private room,109.0,2,9,9,86,28426323,"[3, 4, 5, 8, 25, 30, 32, 33, 34, 35, 36, 39, 40, 41, 43, 46, 47]",1.0,5552105,Real Bed,False,5,99,$109
8,2403.5,https://www.airbnb.com/rooms/7811596,10,Entire home/apt,169.0,4,10,10,85,3285407,"[1, 3, 4, 8, 30, 35, 39, 40, 41, 44, 47, 49, 50]",1.0,7811596,Real Bed,False,4,8,$169
8,682.0,https://www.airbnb.com/rooms/14321757,9,Private room,60.0,1,9,9,80,72782262,"[3, 4, 8, 40, 42, 44, 45, 49, 50]",0.9890000224113464,14321757,Real Bed,True,4,23,$60
10,705.5,https://www.airbnb.com/rooms/13606695,10,Private room,110.0,2,10,10,98,29073776,"[3, 4, 30, 31, 35, 36, 40, 41, 42, 43, 44, 47, 50]",1.0,13606695,Real Bed,False,3,36,$110
10,70.0,https://www.airbnb.com/rooms/15149051,10,Entire home/apt,400.0,2,10,10,99,96092167,"[1, 4, 5, 7, 8, 15, 21, 25, 30, 33, 34, 35, 36, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50]",1.0,15149051,Real Bed,True,5,16,$400
10,1.0,https://www.airbnb.com/rooms/6629798,10,Private room,120.0,2,10,10,96,1483039,"[3, 4, 8, 27, 28, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50]",1.0,6629798,Real Bed,True,5,131,$120
10,28.0,https://www.airbnb.com/rooms/15086385,10,Entire home/apt,250.0,2,10,10,98,15103537,"[1, 4, 8, 30, 31, 33, 34, 35, 36, 40, 41, 42, 44, 45, 46, 47]",1.0,15086385,Real Bed,False,5,16,$250
9,3298.0,https://www.airbnb.com/rooms/15756104,9,Private room,142.0,4,9,9,89,101854648,"[1, 3, 4, 5, 7, 8, 9, 12, 14, 15, 16, 17, 18, 21, 27, 28, 30, 31, 33, 34, 40, 41, 44, 45, 46, 47, 50]",0.9409999847412109,15756104,Real Bed,True,5,8,$142
10,1.0,https://www.airbnb.com/rooms/10836169,10,Private room,96.0,1,10,10,97,9422162,"[3, 4, 8, 30, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 49, 50]",1.0,10836169,Futon,False,5,50,$96
